salario_medio_moradores_regiao,idade_media_casas_regiao,quantidade_media_comodos_regiao,quantidade_media_quartos_regiao,populacao_regiao,valor_casa
77643,6,5,4,35512,1240755
67769,8,6,4,33254,1760735
74411,5,7,6,43537,1393747
73101,4,8,4,29497,1172386
58708,5,6,4,15969,483986
63876,7,7,3,38052,1388530
68343,6,8,6,40653,1721739
73064,5,7,6,30699,1276449
67367,6,6,2,32547,1161743
66547,6,5,2,16741,786408
73313,6,8,4,37808,1604921
47681,6,7,5,50908,1230149
67910,6,6,4,31379,1051645
69277,6,7,5,43717,1415074
67946,5,5,3,35197,1043484
90975,4,8,6,44426,1544380
61885,5,6,3,48726,1352136
69401,7,8,3,29293,1505727
72969,6,8,4,31755,1416966
75582,5,6,4,31946,1046722
56241,5,6,2,32745,939040
79412,6,7,3,17568,1383031
79618,4,6,3,29636,1072503
67019,6,7,6,24997,1134398
56063,5,5,4,39129,734828
57077,5,6,4,33393,991892
75954,4,7,5,34467,1057253
52575,7,7,4,41828,1237225
63312,6,8,4,43230,1442633
82526,6,7,4,43947,1877402
73204,6,7,6,35090,1394518
56357,5,5,3,38061,953939
71316,7,7,5,21651,1219778
75046,4,8,3,32468,1287325
84474,6,5,2,38677,1739894
68162,6,6,3,31843,1213382
62784,7,4,3,35122,1007479
67009,6,7,3,39737,1528756
67437,6,6,2,29356,1182460
65967,6,7,3,35799,1474547
42816,7,7,4,47457,1078017
83347,5,5,3,48226,1453382
81699,5,6,4,39527,1495013
56143,4,6,4,45084,714148
59513,4,5,3,44162,894292
78379,5,5,3,31357,1159842
70877,6,7,5,36033,1195986
61526,6,9,6,27307,1381431
65316,7,6,2,55799,1534890
76268,6,6,3,38649,1494125
48531,6,8,5,39731,1356146
82906,5,5,4,38820,1454943
63117,4,5,2,43091,774118
75860,3,4,3,41003,889113
68844,4,6,3,48392,1211102
52446,5,7,3,32934,658646
69342,5,7,3,37082,1400105
55932,7,6,4,42488,1262018
53306,4,6,2,39063,553077
56976,6,7,3,46375,1203248
51296,6,7,6,32078,1115323
63995,7,7,5,24748,1301881
71915,6,5,4,27714,1006687
62137,5,7,5,19045,749383
78050,5,6,4,27789,1075597
67371,5,6,4,24797,739871
59362,7,8,3,44723,1442945
57003,7,6,3,29594,828497
68989,6,7,6,32629,1373291
70969,4,6,3,24833,925566
82251,7,7,6,18408,1552537
71306,5,6,2,43284,1335905
70921,5,6,3,29390,960808
70739,6,7,6,35148,1405933
58097,6,6,3,19903,619088
51273,7,6,2,53811,1329273
76326,5,4,3,42779,1261844
63584,5,6,4,46340,1175781
86340,4,6,3,35630,1437054
79471,5,8,6,36616,1594415
55879,6,5,2,37360,931358
40503,6,6,3,45979,798640
83394,5,5,2,30487,1451740
64501,6,7,5,43869,1278992
59569,6,7,4,31294,885921
69280,6,6,4,40290,1425633
66342,5,6,3,11792,901882
73367,6,9,5,23684,1521731
57122,5,5,2,41972,716771
61978,7,8,5,56957,1696717
54299,6,6,2,39512,819598
71424,5,8,3,37242,1584214
57353,8,5,4,16906,798893
44731,4,8,5,39633,601973
76175,4,9,4,30760,1456486
66574,5,6,2,69575,1702406
91731,5,7,6,33102,1566471
75487,6,7,4,41105,1592210
58088,6,5,4,51925,937628
76319,6,6,3,48026,1558548
60575,5,6,2,32158,1156329
69607,7,7,3,34609,1514350
67056,5,7,5,25134,1039107
60640,5,5,2,43119,809090
69031,5,5,3,15660,675536
80356,4,9,5,16215,1373590
60081,6,8,4,60195,1690091
61881,6,7,5,35597,1253370
59590,6,5,2,24153,774074
89831,5,7,6,45335,1741960
72175,7,6,2,50305,1705763
67589,6,6,2,33203,1071110
77300,5,6,4,29499,1118048
65382,5,7,6,41723,1165253
71145,6,6,2,35642,1280910
61053,5,5,2,40675,841123
65125,5,7,4,37642,1228811
51949,6,8,5,35336,1086072
75897,5,6,3,34162,1204372
71468,6,6,3,43269,1345004
53287,5,7,3,45152,1116902
61503,5,7,3,37650,822432
68896,6,8,4,28394,1360624
91159,6,7,3,54861,2298379
63375,6,7,3,45633,1400498
59695,5,6,2,20702,566849
63183,5,7,5,58691,1367586
61177,6,7,5,26396,1113374
58642,5,6,3,35131,721975
53112,5,6,4,40367,685504
40366,4,7,5,16349,152072
62207,7,7,5,34317,1280432
57477,5,7,6,23649,568703
55630,6,8,6,38943,1200765
72399,6,7,6,41662,1607162
89868,4,7,5,30101,1421715
59801,4,4,2,33534,311111
61957,7,7,4,38448,1338044
71123,6,6,3,44020,1417871
55202,4,8,3,28424,796389
79298,7,5,3,15753,1310207
65070,7,5,4,24852,994898
68494,7,7,5,13998,1202988
55702,5,5,3,40087,768752
57233,7,6,2,37374,1211655
85313,6,6,4,23974,1540418
60224,4,5,3,42182,712228
73873,6,6,3,33336,1525533
63149,7,5,2,37578,1034218
58593,4,6,2,39287,874104
73839,6,8,4,47602,1912825
75984,6,7,4,42248,1754771
82145,6,6,4,25736,1340067
69017,5,5,3,55830,1446757
75429,6,7,5,36769,1592768
69513,4,7,6,14054,660365
57782,5,6,2,33426,861322
74372,6,8,6,34321,1648247
63522,5,6,2,31995,977136
61193,7,9,3,33196,1591934
60316,4,5,4,33831,695386
58469,5,4,2,33547,568977
75179,4,7,5,23978,935591
56186,3,8,5,41855,984312
73225,5,6,2,61830,1796246
74338,5,5,4,18057,720080
52188,5,5,4,42495,783808
83311,6,8,3,30386,1598616
72288,6,7,5,39146,1564125
54866,6,7,3,35192,929481
85759,4,8,6,25897,1414495
59453,6,7,6,29697,837668
69878,7,6,4,26814,1197515
59243,6,7,4,51405,1232005
57853,6,7,4,47688,1285933
66643,6,7,4,30971,1361522
69248,5,5,2,35990,1090826
75129,6,7,3,41620,1475320
76209,7,5,4,22721,1066659
69342,6,8,3,21641,1117433
77630,6,6,2,31739,1420284
68929,7,6,3,172,840273
70990,6,4,2,30904,1024908
55860,7,9,5,40335,1494241
56380,5,6,4,43994,1125880
64306,4,7,4,30762,1082455
76547,6,6,3,40564,1554635
57101,5,7,6,41104,1011365
76192,7,7,6,21245,1432757
79585,5,8,4,31773,1612718
70759,6,5,4,25981,973300
76907,5,6,4,21658,679229
64744,5,8,6,28880,1271000
51976,5,7,4,36360,910211
61252,5,7,4,40890,1026272
58841,7,6,4,39555,1496730
79112,6,7,5,33771,1490539
76056,6,8,5,28470,1491838
52399,6,8,3,18092,996771
77551,5,4,2,35834,1064854
64160,5,6,4,32339,985750
71167,7,9,4,35174,1952622
84963,7,6,3,40447,1754969
59712,5,6,3,42601,1122240
77733,5,5,3,32074,1236932
85707,4,6,4,10424,966084
70280,4,5,4,39662,852269
69330,7,6,2,30097,1280670
72988,5,5,3,50566,1190214
65697,5,7,4,28742,1123851
76245,7,7,3,32016,1689120
53546,7,8,3,45504,1573348
73643,6,8,3,43152,1696978
84774,7,5,2,32383,1414287
58140,5,6,2,49337,755292
61881,6,6,2,21397,714706
75312,5,6,4,9487,944002
81328,6,6,3,31231,1523136
77931,6,6,3,23182,1422917
84602,7,7,6,39683,1945619
72445,5,6,2,69553,1726719
57497,6,7,5,43204,1051124
87266,8,7,5,45161,2249123
62431,6,8,4,44115,1523915
72107,4,6,3,29981,1039518
55577,6,7,3,19560,818058
62327,5,7,4,43364,1115467
73931,5,6,2,29568,1258179
63429,6,8,3,37998,1435424
73423,5,5,3,34711,1153470
75175,8,5,2,22367,1425603
56636,6,7,4,28139,1048351
67665,6,6,3,24758,1214482
65986,4,6,2,24056,821859
54273,5,6,4,24233,753652
75547,3,7,6,40043,1220001
70151,6,7,5,15255,1075675
74449,6,7,3,24837,1396082
66919,7,7,6,18867,1137802
68473,5,6,2,43146,1159954
76113,6,7,5,26481,1487850
61212,6,5,3,32045,1103072
59768,5,7,3,26202,897291
78847,5,7,3,20653,1214321
75735,5,8,5,37268,1364363
77847,5,7,3,30231,1249093
56231,5,5,2,52657,946479
89163,4,6,2,44016,1659805
62377,6,7,4,39075,1285400
68864,6,4,4,29802,898282
82440,6,7,5,27545,1483848
60948,7,6,2,39754,1353488
69729,6,7,5,31719,1268704
75491,6,7,6,26013,1448574
80648,6,5,3,35091,1343606
84036,7,5,4,32766,1511538
76590,5,7,3,40643,1662039
63534,6,8,3,38128,1166673
67269,6,7,6,41780,1375633
50887,4,7,4,47731,839638
80597,6,7,3,34487,1638265
66041,6,8,5,40163,1385400
81316,4,7,3,35589,1153233
67877,5,7,5,43300,1370178
69306,5,6,2,36851,1181877
61200,5,6,4,42789,894251
70619,5,7,5,37865,1421136
69910,5,5,4,38440,1028964
64889,3,7,3,25904,923508
69900,6,8,6,32679,1599634
79045,5,8,5,24721,1369186
76460,7,6,4,46851,1748783
58307,6,8,4,25509,1150878
56679,5,8,5,40785,1110599
58823,5,7,4,38682,1159207
80836,5,7,3,49864,1811377
67710,5,8,4,25222,1267443
70027,7,5,3,40512,1352548
36100,5,5,2,44901,599504
67217,4,6,4,23999,717213
63657,6,5,3,36391,1008713
71468,5,5,3,36377,1071596
62989,6,6,4,36913,1397342
69327,6,7,6,31054,1313305
94902,6,8,3,41662,2106511
79579,4,7,3,31756,1306459
73756,5,6,3,59485,1354929
65873,7,8,4,39785,1582766
52934,6,6,3,46520,847155
82830,5,7,4,32026,1342246
73930,5,7,4,42702,1363087
58557,5,7,6,54167,1275319
51718,7,7,3,49639,1285924
69807,7,7,3,51453,1789608
79627,4,6,2,31638,1196064
97112,5,6,3,51470,1917584
74354,6,6,4,30091,1370274
72481,5,8,3,45160,1677204
73093,5,5,2,41796,1439714
51992,7,7,3,21759,1012263
66484,4,9,3,51712,1511743
81182,5,7,4,34141,1131155
79103,3,7,4,25767,764860
75070,6,6,2,44682,1681316
44688,5,6,3,25120,291724
73726,3,7,3,28666,1013252
64038,4,7,4,54130,1194710
69896,5,7,4,38180,1463003
73723,6,9,6,24723,1453328
79996,6,6,3,28067,1291506
61538,7,7,6,51154,1625508
47065,5,7,5,24125,566896
82381,4,8,4,36655,1468513
80857,4,8,3,44385,1573106
60893,4,7,5,49076,968361
66356,7,6,3,38022,1309986
78438,7,4,4,35220,1361219
61215,7,8,6,36495,1465120
64907,6,7,5,46677,1571465
80008,4,8,5,45889,1629098
71356,5,7,5,36998,1182336
72432,5,5,3,35039,1010814
67284,5,6,3,24942,924729
62653,6,7,3,41467,1382110
63968,6,8,3,27404,1366728
74233,6,6,4,32875,1297850
59729,7,7,6,31202,1196688
81132,5,6,4,32311,1281113
68500,5,7,5,51746,1530730
55050,7,7,6,29423,1208665
76840,5,7,5,29860,1417276
63428,5,7,6,42996,1195602
90592,7,9,5,37223,2469066
56685,6,7,3,43322,1223101
69230,6,5,2,43072,1220277
68916,7,6,3,42744,1311765
60509,7,8,6,28410,1198314
85719,4,6,3,32058,1187609
62134,7,6,2,32157,1399663
73435,6,8,4,36239,1597777
55612,7,7,4,42258,1355022
70879,6,7,5,22431,1137059
67461,4,8,3,34573,1053815
84439,4,7,4,19835,1242422
67802,6,7,3,36129,1222041
62685,6,6,2,42018,1025461
71392,3,7,4,36009,859428
59050,6,7,5,37741,1279804
87895,8,5,4,23876,1671669
70276,7,7,3,26630,1525602
72640,4,7,4,31470,998774
62894,6,6,4,20317,1012322
50846,5,7,3,45357,1252419
78688,6,7,6,47812,1869313
76397,7,6,3,45281,1800686
62162,6,7,6,47747,1393100
75090,6,6,4,39456,1166558
61801,5,7,5,36326,988175
77429,6,7,4,30108,1540481
74388,4,5,3,33763,866142
62566,4,6,2,29365,557362
68894,5,6,4,28851,1033291
68738,4,5,3,47445,1084945
74277,6,3,3,50233,1365081
81280,5,5,4,34933,1239460
86305,8,7,4,37854,2056693
59302,6,6,3,25296,1045395
81385,6,6,2,47897,1679205
64115,5,7,5,34312,1158743
90436,6,7,6,13340,1647279
75940,5,8,5,49974,1702091
70102,6,7,3,28280,1379386
69950,5,9,4,23733,1358527
65736,5,6,3,32964,991399
53825,6,6,4,27373,957118
86625,6,5,3,42758,1638969
69376,5,6,2,18226,714142
68423,5,4,2,13345,760876
68720,5,6,2,45887,1343537
70005,4,6,2,40325,1056994
66614,5,6,4,16654,1088222
58978,6,7,3,44071,1308984
64538,6,9,3,36678,1548323
76008,5,7,4,39842,1411749
87119,6,6,4,34671,1601904
62850,6,7,4,37764,1277297
66295,6,6,3,28112,1061552
63185,7,6,3,40080,1115013
74256,4,7,3,34684,1020843
71668,7,6,4,31352,1440962
54476,5,6,2,33533,817377
85281,6,6,2,22887,1381537
72137,4,8,3,38259,1273067
66112,8,7,6,20795,1376715
67047,6,6,2,37937,1293747
89358,6,7,3,34063,1750908
50189,6,5,3,35043,555811
73119,7,7,5,35426,1578829
67972,5,6,3,27865,911202
71739,6,7,5,37030,1628752
67292,5,6,2,41837,1245401
70243,6,6,2,24647,993725
78274,4,8,4,56299,1816099
84332,6,8,4,33107,1570583
79550,6,7,4,43636,1626321
79698,4,6,2,42046,1262494
71188,5,5,3,40656,1185227
74605,6,6,3,31638,1360329
71222,5,7,3,54677,1350459
80972,5,6,2,48036,1556988
51044,6,7,4,37730,886036
65066,6,7,6,27940,1129613
76259,4,7,3,19262,1070240
77456,6,7,3,37997,1587015
75376,4,8,3,25548,1146322
79674,6,7,5,17862,1377447
64408,6,5,3,40817,1113571
67932,6,6,2,51145,1593837
75146,4,8,6,55577,1560747
55378,7,6,2,41416,977981
78113,4,6,2,43345,1292592
81516,5,8,5,33263,1458913
70306,6,6,2,29572,1037780
91392,7,7,6,33379,1792255
51110,6,6,2,38408,882170
99629,5,7,5,36950,1883481
72656,6,6,3,38568,1268600
71938,5,7,3,20097,1157189
69503,5,6,4,45266,1180989
75287,6,8,3,39219,1813044
56753,4,6,2,52718,866666
78044,5,8,6,43771,1671350
74838,5,7,6,23637,1137468
51580,6,5,4,37511,711499
85260,7,6,2,52358,1940195
49733,7,9,4,43558,1496466
76751,5,8,3,32295,1448995
64595,5,6,4,29668,924272
88794,6,7,6,37994,1747005
69909,6,8,4,39347,1576286
89908,7,6,4,37295,1712281
76278,7,7,4,49250,1852376
55405,8,6,4,18257,1007596
68270,5,6,4,31159,1034779
71275,6,6,4,28922,1006545
53079,5,6,2,33083,736799
66690,6,6,3,22619,1109006
61644,7,7,5,27809,1384140
80015,6,8,3,52469,2084884
62591,5,6,4,32210,801195
70673,6,5,3,58256,1412243
82535,7,7,4,43272,1890789
82610,5,7,5,34880,1841904
84776,6,7,6,26952,1467075
51918,5,6,3,24734,661043
68858,5,6,3,28846,978035
53418,6,8,4,33572,1250882
70696,6,5,3,43313,1409239
70902,5,6,3,36768,1162747
62043,5,7,6,23249,878863
61411,5,7,3,49175,1338425
58293,5,7,5,45033,1094348
70851,6,6,4,27024,1195898
65669,4,8,5,40115,1050240
64823,5,7,5,36481,914231
68363,6,6,3,20667,864484
70596,6,6,3,51614,1599479
67947,7,6,4,35681,1336356
96807,6,7,5,29269,1808341
66733,7,7,3,35193,1424283
80665,5,6,3,40952,1471800
75378,6,7,4,28300,1347622
65198,7,7,5,23580,1163742
78739,6,6,2,28884,1450625
66697,6,6,3,25896,982298
58822,5,8,5,34141,868314
75093,5,7,4,27247,1231512
68709,5,6,4,16668,663129
68192,5,6,3,46821,1210497
84090,6,6,2,25127,1409033
69277,5,7,5,57408,1356385
63833,6,5,4,28928,1125476
70698,6,6,4,22987,1129976
68258,4,7,6,36205,1003643
62699,6,7,4,37816,1306368
76933,8,7,6,33433,1775875
65959,6,6,3,29803,1036685
78020,7,6,2,49601,1869929
69559,6,6,2,42013,1381086
90890,7,7,6,45519,2252243
56901,6,6,3,13704,787040
59206,6,7,6,28805,957284
65302,5,5,2,43818,1173695
86369,7,4,3,43683,1713162
71499,6,6,3,41870,1325503
69312,6,7,3,44237,1501498
77797,7,6,2,33847,1573580
55631,5,5,4,30884,693567
70836,7,5,4,37047,1524587
62152,7,5,3,42785,1048818
66919,6,6,4,38858,1310764
79868,4,7,5,54228,1537330
73145,6,6,2,41209,1244881
54535,5,6,4,30852,732733
72240,4,8,4,25012,1095807
47266,5,5,3,33421,476006
82551,7,5,4,40086,1599911
72232,5,8,3,49668,1675826
71624,5,7,6,29089,1175869
71670,6,6,4,31709,1135079
86157,4,6,2,62963,1833209
82416,5,7,3,15290,1120350
69566,5,5,2,37491,1080736
66684,5,6,2,37226,1168575
71743,8,7,5,44674,1919693
55473,6,8,5,48021,1466606
66261,7,7,6,26264,1234037
65380,7,7,6,21641,1269486
73431,6,5,3,31148,1176112
76169,5,6,2,50352,1371298
72630,5,7,5,34119,1246509
64601,6,7,4,24117,1020269
55995,7,7,3,20895,1130415
58301,4,8,6,32759,890560
66579,7,6,3,35826,1417159
73829,6,6,3,51385,1376493
86640,6,5,3,22432,1306207
80535,5,7,5,25691,1275209
51474,5,7,5,38952,902521
69333,5,6,2,17187,872312
55554,5,7,5,44903,994517
64055,7,7,5,27804,1289008
76811,7,7,4,27770,1610007
78030,7,7,3,42432,1843721
76921,7,7,4,44920,1891949
63833,5,7,5,34481,1451078
69120,6,7,5,36631,1481941
65454,4,8,3,47740,1144478
53067,7,7,5,46132,1279946
59519,6,8,6,42176,1193021
64724,7,4,4,43833,1167119
83936,6,5,2,25569,1225613
70298,6,4,2,33457,1131619
79337,6,8,3,41521,1697502
63578,5,7,3,42322,1365497
65124,4,6,4,19161,622450
84364,4,7,3,50521,1551095
76287,6,4,2,35212,1299127
56433,6,8,3,46058,1290325
83406,5,7,6,25350,1183884
74867,5,8,4,33768,1305934
55698,6,7,6,49506,1279118
59575,4,6,3,37153,786559
69605,7,7,3,35427,1588196
67663,4,7,3,30546,976649
75354,6,7,3,21574,1250867
63750,5,6,3,40582,1046627
72263,5,5,4,28428,1115935
69246,5,6,2,35005,1077814
65465,5,6,3,31297,1047689
107701,7,8,3,37619,2332111
58829,6,6,3,31236,956435
94650,7,7,5,27797,1892624
49851,4,5,3,32511,283208
61522,6,8,6,30398,1176021
59082,4,6,3,33462,783819
80732,8,7,6,28954,1625703
88222,6,6,2,34795,1961847
70651,5,5,2,35339,1084556
79289,6,6,2,41321,1428247
73969,6,8,6,39663,1634946
62857,5,5,4,48339,915993
72991,3,6,2,50626,1042374
62794,4,8,5,31162,879618
71806,5,6,2,47563,1210432
69584,5,8,6,17045,1059262
62357,6,7,5,23382,972418
59716,5,7,5,41273,1242979
71093,5,5,3,37143,1096846
76336,5,8,3,37258,1392685
54762,3,7,5,58460,1080465
61666,5,6,2,34605,821413
92280,7,8,4,38004,2237778
74312,5,7,3,43906,1518320
70026,6,8,3,38102,1503552
68524,6,5,2,48112,1219154
87927,5,4,2,34724,1276259
74082,6,6,2,32617,1400497
72245,6,5,2,25508,1127175
63555,5,7,3,41839,1251664
74170,5,6,2,40719,1469355
70005,4,7,4,25136,946556
67547,6,7,4,28131,1150659
61776,6,8,3,27970,1325820
69200,5,6,4,31085,1150094
66887,6,7,3,23806,1009142
83201,6,7,5,43837,1705276
59944,5,8,4,28999,829795
53676,6,6,2,47027,1046443
64074,5,6,4,40211,1152269
77324,4,6,2,32839,1091480
76870,5,5,4,25655,1039915
55897,3,7,5,31094,565733
87765,5,8,6,39910,1739628
78331,5,8,3,31032,1442129
74569,3,5,2,39183,1004125
87314,5,6,2,25224,1143621
78019,4,6,2,36689,1060241
64432,6,7,4,50851,1548963
74332,5,7,6,30212,1056984
74664,7,6,3,23817,1447353
73406,5,5,4,38073,1251566
58464,4,7,3,25157,751969
61600,4,6,2,37457,764955
75155,5,6,4,51562,1539959
67828,5,6,2,27127,962747
50144,6,7,3,43233,1353854
86557,5,8,5,42757,1850526
87733,5,6,3,43943,1778412
65846,7,8,3,22355,1369006
45551,6,6,2,49839,1197975
89946,6,8,4,40502,1930144
72792,7,6,2,34104,1481946
68709,5,8,4,31659,1347579
87506,5,4,3,32699,1358647
62862,4,6,3,37254,931768
59054,5,7,5,51384,1205963
45978,5,8,3,36062,792146
80281,6,8,5,45424,1618671
65908,5,6,3,24080,864447
55930,5,6,3,24898,662630
77587,6,6,4,37280,1485146
62636,5,5,3,51456,1047227
76142,4,8,4,41931,1392794
63524,6,4,4,48123,943575
85673,6,6,2,33110,1793399
49268,6,8,6,41349,881273
87978,8,7,5,39586,2138714
78785,6,6,2,33603,1540870
79271,8,6,3,28904,1707650
62755,6,6,3,41525,1025705
81944,6,6,4,34262,1541186
67384,7,7,6,48918,1930344
67282,5,7,4,42768,1481147
57869,5,6,3,44474,1099725
64967,7,7,3,28164,1190867
69700,6,5,4,21934,1070319
74490,5,8,4,35563,1358214
54827,7,7,6,45027,1198725
74369,6,8,3,45991,1774715
81357,6,6,3,51019,1538904
73185,5,6,4,54680,1462361
53526,4,6,3,51611,953262
64736,6,7,3,47717,1427109
68488,4,7,4,28298,769577
49424,7,5,2,18656,668255
62032,5,7,4,25267,800809
64506,6,7,6,41521,1427202
51178,6,6,3,31822,783566
64290,3,7,3,54157,949072
61482,7,8,3,50245,1693592
70130,8,9,4,26794,1675557
84923,7,6,4,43231,1943360
63233,4,6,2,49272,1106261
53776,6,5,4,29324,978767
67125,4,7,5,22651,997827
66007,6,5,4,45399,1062206
64838,6,8,4,32921,1382172
83889,6,5,4,17957,1281741
78846,6,7,6,41261,1592665
72556,5,7,6,31487,1247558
62069,5,7,3,27098,779208
88697,4,6,3,29935,1222761
57216,6,8,6,35046,1380715
53712,4,6,2,31913,704884
77330,5,5,3,49571,1530481
66556,6,8,4,45325,1780415
74864,6,8,6,46250,1709667
62561,4,7,3,37446,852566
77821,5,6,2,33932,1185310
79579,5,8,6,43214,1795093
69923,4,5,4,45202,956242
63879,4,7,4,56266,1224455
59154,4,5,2,26567,552279
52835,7,7,5,34537,1186357
63750,7,8,3,47248,1582262
81741,5,7,5,29755,1478028
77594,6,7,5,24293,1386306
79843,5,7,3,42452,1424787
77081,3,7,6,40080,1206937
70713,4,7,5,29436,1209288
63797,5,6,2,26626,1029870
45914,4,6,4,26309,300464
88190,5,6,2,25177,1294278
72010,5,8,6,16376,1251757
52420,7,6,4,39766,1128403
74748,5,7,5,36071,1363669
80913,5,7,6,30034,1177745
59480,5,7,4,43703,980274
80951,5,6,4,38990,1524116
63856,7,6,3,31114,1311903
74727,5,7,5,27639,1119993
78095,6,7,3,32346,1538923
69689,4,6,4,27438,843633
54973,5,7,5,40412,903302
62571,5,7,4,41465,1161996
69370,5,4,3,33732,733300
82415,7,6,3,46297,1837931
52864,5,7,3,39156,962029
65855,6,7,6,45528,1477765
61310,7,7,4,33201,1419346
39411,4,7,4,45851,539483
77265,5,7,3,21558,1097702
74777,6,6,2,30013,1412274
67474,3,7,4,34971,1013443
68848,6,6,4,25880,893919
66148,6,6,4,31574,1234532
63595,6,6,3,19345,864703
60741,6,6,4,24534,977024
73540,4,7,5,39756,936149
74633,5,5,3,30600,1056977
62016,5,7,3,35750,1040607
84249,5,6,4,44571,1641102
44247,6,6,4,22011,503066
59473,6,7,6,41215,1296147
67839,6,6,3,26377,1164210
62972,7,4,2,33869,999815
61162,5,7,6,36033,1060898
87472,5,7,3,48306,1848634
48692,4,6,3,36239,617158
67858,4,6,3,29708,857697
72332,5,6,4,45804,1253434
80775,6,7,5,26601,1635092
75151,7,6,3,32032,1524845
62095,5,4,3,36183,763870
75759,5,7,4,46188,1376638
64374,8,7,6,23251,1244440
48147,5,7,6,32050,693932
64127,5,6,2,42628,1277745
83921,5,6,4,39569,1539329
54617,6,6,2,29613,903882
45493,7,7,3,38938,896944
72780,5,5,2,44953,1184759
96395,5,7,6,35036,1731437
47467,5,7,3,37341,762145
61807,5,8,5,44586,1270905
